Order_Number,SKU,Quantity
3I58708686,046K,0
3I57979295,154K,1
3I57979295,4114,1
3I57979295,1238,1
3I57979295,1295,1
3I57978963,4114,-1
3I57978963,154K,1
3I57978963,1296,1
3I57978963,1295,1
3I57978963,183K,1
3I57978963,1293,0
3I57978963,1569,1
3I57973436,080K,0
3I57935323,1249,0
3I57935323,1233,1
3I57935323,1295,1
3I57923732,1249,-1
3I57923732,1239,1
3I57923732,1569,1
3I57923732,1295,1
3I57824097,4114,0
3I57824097,1238,1
3I58708686,1569,0
3I58708686,1279,0
3I58746331,4114,-1
3I58746331,183K,1
3I58746331,046K,1
3I58746331,1569,1
3I58746331,1279,1
3I58747209,1248,0
3I58747209,1233,1
3I57859364,1236,1
3I57859364,20,1
3I57840103,1233,1
3I57895202,154K,1
3I57895202,1569,2
3I57895202,1295,1
3I57895202,1279,4
3I57895202,555,1
3I57895202,115K,1
3I57895202,1249,1
3I57895202,4114,1
3I57895202,1233,1
3I57895202,183K,1
3I57895202,1247,0
3I57895202,1248,1
3I57903534,4114,0
3I57903534,230K,1
3I57904807,4114,0
3I57904807,1295,1
3I57898359,1249,0
3I57898359,1239,4
3I57898359,1269,1
3I57898359,4114,1
3I57898359,154K,1
3I57898359,230K,1
3I57898359,1291,1
3I57898359,1238,1
3I57898359,080K,1
3I57898359,1294,1
3I57898359,1295,1
3I57898359,1296,1
3I57898359,1279,1
3I57898359,1569,-1
3I57662409,4114,0
3I57662409,080K,1
3I57694307,1249,0
3I57694307,1569,2
3I57694307,1295,1
3I57694307,183K,1
3I57694574,1249,0
3I57694574,230K,1
3I57696502,1238,1
3I57719046,154K,1
3I57719046,1233,1
3I57719046,1295,1
3I57719046,183K,1
3I57719046,1249,1
3I57824688,4114,0
3I57824688,230K,1
3I57733199,4114,0
3I57733199,1296,1
3I57733199,183K,1
3I57719687,1249,1
3I57719687,4114,1
3I57719687,1233,1
3I57719687,1295,1
3I57742278,1295,1
3I57786301,1569,-1
3I57786301,4114,1
3I57786301,1248,1
3I57786301,1295,1
3I57786301,080K,1
3I57785536,1236,0
3I57785536,1569,1
3I57562605,1279,2
3I57562605,2865,-1
3I57562605,1233,1
3I57595117,1249,0
3I57595117,230K,1
3I57574993,1247,0
3I57574993,183K,1
3I57575580,4114,0
3I57575580,1295,1
3I57510894,154K,1
3I57510894,230K,1
3I57525208,1249,0
3I57525208,230K,1
3I57575858,4114,0
3I57575858,1295,1
3I57525760,1247,0
3I57525760,1296,1
3I60164583,1569,0
3I60164583,183K,1
3I59911847,4114,0
3I59911847,1249,1
3I59891443,154K,1
3I59891443,4114,2
3I59891443,1569,1
3I59891443,183K,1
3I59863656,4114,0
3I59863656,183K,1
3I59863656,1236,1
3I59806098,4114,0
3I59806098,1569,1
3I59806098,1291,1
3I59806098,183K,1
3I59809570,230K,1
3I58973203,1249,1
3I58973203,1233,-1
3I58973203,111,1
3I58973203,1291,1
3I58973203,1295,1
3I59821035,4114,0
3I59821035,1295,1
3I59806098,4114,0
3I59806098,1569,1
3I59806098,1291,1
3I59806098,183K,1
3I59821531,1233,1
3I59821531,1249,1
3I59739180,1295,1
3I59739180,20,1
3I59740416,20,0
3I59740416,1295,1
3I59740416,1239,1
3I59013164,1279,0
3I59156762,1569,0
3I59156762,154K,1
3I59725883,1295,1
3I59734465,4114,0
3I59734465,1295,1
3I59643748,4114,0
3I59643748,183K,1
3I59643748,1233,1
3I59156762,1249,1
3I59218468,1569,1
3I59218468,183K,1
Z7G9329942,1247,1
Z7G9329942,1239,-1
3I59568292,1569,0
3I59574373,4114,-1
3I59574373,1569,2
3I59574373,555,1
3I59574373,1236,1
3I59574373,183K,2
3I59474398,1296,1
3I59479716,1239,0
3I59479716,1295,1
3I59494576,1569,1
3I59494576,1236,1
3I59494748,4114,0
3I59494748,1295,1
3I59440755,1296,1
3I59368724,1247,0
3I59368724,1295,1
3I59374929,4114,0
3I59374929,1295,1
3I59336475,4114,0
3I59336475,1295,1
3I59336609,154K,1
3I59336609,1295,1
3I59290158,1295,0
3I59290158,154K,1
3I59286619,1249,0
3I59286619,1295,1
3I59253882,1233,1
3I59253882,1279,1
3I59253882,025K,3
3I59253882,6,1
3I59253882,20,1
3I59253882,3123,1
3I59201367,1269,0
3I59201367,230K,1
Z7G9329942,1569,1
Z7G9329942,1291,1
3I59224120,1233,0
3I59224120,111,2
3I59224120,65,1
3I59195314,1279,0
3I59209536,1294,1
Z7G9329942,080K,1
3I59689941,4114,1
3I59689941,1249,0
3I59163971,1569,0
3I59120295,183K,1
3I59136224,1249,0
3I59136224,1295,1
3I59136962,1247,0
3I59136962,1295,1
3U02659131,1626,1
3I59055036,154K,1
3I59055036,1296,1
3I59055036,555,1
3I59055180,154K,1
3I59055180,230K,1
3I59092098,1236,-1
3I59092098,183K,1
3I59092098,1569,1
3I59092098,4114,1
3I59092098,555,1
3I59003948,4114,0
3I59003948,1295,1
3I59004158,1247,0
3I59004158,1295,1
3I59689941,183K,1
3I59022368,1236,0
3I59022368,183K,1
3I59022368,1569,1
3I59818876,1295,-1
3I59818876,1249,1
3I59818876,1279,1
3I59818876,080K,3
3I59818876,1233,1
3I58917219,154K,1
3I58917219,1296,1
3I58924476,1248,0
3I58924476,1295,1
3I58921638,1247,0
3I58921638,1295,1
3I58944469,1295,-1
3I58944469,1279,2
3I58944469,154K,4
3I58944469,1569,1
3I58944469,555,1
